Name,Description,Category
Tigre Buenos Aires Argentina,יעד לטיול יום מבואנוס איירס,אטרקציה
Plaza Serrano Buenos Aires,פארק פופולרי בפלרמו - 4.4 ⭐,פארק
Calle Córdoba Rosario Argentina,רחוב קורדובה ברוסאריו,אחר
España Park Rosario Argentina,פארק - 4.7 ⭐,פארק
Newell's Old Boys Rosario Argentina,מגרש הקבוצה של מסי בילדותו - 4.6 ⭐,אטרקציה
Independencia Park Rosario Argentina,פארק הינדפנדנסיה - 4.6 ⭐,פארק
Buenos Aires & Juan María Gutiérrez Argentina,צומת / נקודת ציון,אחר
National Flag Monument Rosario Argentina,מונומנט הדגל הלאומי - 4.7 ⭐,אטרקציה
Alto Avellaneda Shopping Buenos Aires,קניון - 4.3 ⭐,קניות
Casino Buenos Aires Argentina,קזינו בואנוס איירס - 4.2 ⭐,קזינו
Terminal Fluvial Buquebus Puerto Madero Buenos Aires,מסוף הספינות לאורוגוואי - 3.5 ⭐,תחבורה
Peatonal Florida Buenos Aires Argentina,רחוב הולכי הרגל המפורסם - חובה לטיול קצר וקניות - 4.2 ⭐,קניות
Piso 15 Sky Bar by Vuelta Abajo Social Club Buenos Aires,בר גג עם נוף - 4.5 ⭐,בר
Victor Audio Bar Buenos Aires,גריל ובר - 4.7 ⭐,מסעדה
Boticario Buenos Aires Argentina,בר - 4.5 ⭐,בר
Tres Monos Buenos Aires Argentina,בר - 4.4 ⭐,בר
Presidente Bar Buenos Aires Argentina,בר קוקטיילים - 4.4 ⭐,בר
El Mercado Buenos Aires Argentina,גריל - 4.7 ⭐,מסעדה
El Preferido de Palermo Buenos Aires,מסעדה ארגנטינאית קלאסית - 4.4 ⭐,מסעדה
Fogón Asado Buenos Aires Argentina,פארייה - 4.7 ⭐,מסעדה
Calle Florida Buenos Aires Argentina,רחוב הולכי הרגל המפורסם - קניות ואווירה - 4.5 ⭐,קניות
Avenida Santa Fe Buenos Aires Argentina,רחוב הקניות המרכזי,קניות
Recoleta Buenos Aires Argentina,השדרה היפה והאלגנטית של העיר,שכונה
Palermo Soho Buenos Aires Argentina,הבחירה מספר 1 לצעירים - ברים מסעדות חנויות,שכונה
San Telmo Buenos Aires Argentina,השכונה הכי אותנטית - רחובות עתיקים טנגו שוק מקומי,שכונה
Puerto Madero Buenos Aires Argentina,רובע הנמל - טיילת ומסעדות,שכונה
Caminito Buenos Aires Argentina,רחוב הצבעים האייקוני בלה בוקה - 4.5 ⭐,אטרקציה
Cementerio de la Recoleta Buenos Aires,בית הקברות הנפלא של רקולטה - 4.3 ⭐,אטרקציה
Obelisco de Buenos Aires Argentina,האובליסק - סמל בואנוס איירס - 4.6 ⭐,אטרקציה
Aeroparque Jorge Newbery Buenos Aires,נמל התעופה הפנימי של בואנוס - 4.4 ⭐,תחבורה
Mayor Seeber Square Buenos Aires,כיכר ופארק - 4.5 ⭐,פארק
La Boca Buenos Aires Argentina,שכונת לה בוקה - בוקה ג'וניורס וקמיניטו,שכונה
El Boliche de Alberto Bariloche Argentina,מסעדה ארגנטינאית בברילוצ'ה - 4.6 ⭐,מסעדה
Colonia Shopping Colonia del Sacramento Uruguay,קניון בקולוניה - 4.0 ⭐,קניות
Colonia del Sacramento Uruguay,העיר העתיקה - יעד לטיול יום מבואנוס,אטרקציה
Colonia del Sacramento Lighthouse Uruguay,המגדלור של קולוניה - 4.6 ⭐,אטרקציה
La tapera de Enrique Colonia del Sacramento Uruguay,מסעדה בקולוניה - 4.8 ⭐,מסעדה
Barrio Histórico Colonia del Sacramento Uruguay,הרובע ההיסטורי UNESCO,אטרקציה
Viejo Barrio Colonia del Sacramento Uruguay,מסעדה בקולוניה - 4.5 ⭐,מסעדה
Calle de los Suspiros Colonia del Sacramento Uruguay,רחוב האנחות המפורסם - 4.7 ⭐,אטרקציה
Bruma Colonia del Sacramento Uruguay,מסעדה משפחתית - 4.8 ⭐,מסעדה
Rio de la Plata restaurant Colonia del Sacramento Uruguay,מסעדה על נהר הפלטה - 2.6 ⭐,מסעדה
Souvenirs Uruguay Colonia del Sacramento,חנות מזכרות - 4.5 ⭐,קניות
